year,carrier_name,delay_cause,delay_mins,percentage_delay
2003,SkyWest Airlines Inc.,carrier_delay,823931.0,0.1986
2003,SkyWest Airlines Inc.,security_delay,4309.0,0.001
2003,SkyWest Airlines Inc.,weather_delay,181418.0,0.0437
2003,SkyWest Airlines Inc.,nas_delay,756206.0,0.1822
2003,SkyWest Airlines Inc.,late_aircraft_delay,308818.0,0.0744
2003,Southwest Airlines Co.,arr_delay,1302903.0,0.5
2003,Southwest Airlines Co.,carrier_delay,579420.0,0.2224
2003,Southwest Airlines Co.,security_delay,13536.0,0.0052
2003,Southwest Airlines Co.,weather_delay,204140.0,0.0783
2003,Southwest Airlines Co.,nas_delay,302861.0,0.1162
2003,Southwest Airlines Co.,late_aircraft_delay,202946.0,0.0779
2003,US Airways Inc.,arr_delay,3301791.0,0.5
2003,US Airways Inc.,carrier_delay,655727.0,0.0993
2003,US Airways Inc.,security_delay,12693.0,0.0019
2003,US Airways Inc.,weather_delay,159065.0,0.0241
2003,US Airways Inc.,nas_delay,539329.0,0.0817
2003,US Airways Inc.,late_aircraft_delay,1934977.0,0.293
2003,United Air Lines Inc.,arr_delay,2127654.0,0.5
2003,United Air Lines Inc.,carrier_delay,400612.0,0.0941
2003,United Air Lines Inc.,security_delay,0.0,0.0
2003,United Air Lines Inc.,weather_delay,81538.0,0.0192
2003,United Air Lines Inc.,nas_delay,817898.0,0.1922
2003,United Air Lines Inc.,late_aircraft_delay,827606.0,0.1945
2004,ATA Airlines d/b/a ATA,arr_delay,3104492.0,0.5
2004,ATA Airlines d/b/a ATA,carrier_delay,634765.0,0.1022
2004,ATA Airlines d/b/a ATA,security_delay,3020.0,0.0005
2004,ATA Airlines d/b/a ATA,weather_delay,109946.0,0.0177
2004,ATA Airlines d/b/a ATA,nas_delay,1331209.0,0.2144
2004,ATA Airlines d/b/a ATA,late_aircraft_delay,1025552.0,0.1652
2004,AirTran Airways Corporation,arr_delay,862121.0,0.5
2004,AirTran Airways Corporation,carrier_delay,159096.0,0.0923
2004,AirTran Airways Corporation,security_delay,6056.0,0.0035
2004,AirTran Airways Corporation,weather_delay,10433.0,0.0061
2004,AirTran Airways Corporation,nas_delay,377555.0,0.219
2004,AirTran Airways Corporation,late_aircraft_delay,308981.0,0.1792
2004,Alaska Airlines Inc.,arr_delay,1956512.0,0.5
2004,Alaska Airlines Inc.,carrier_delay,257693.0,0.0659
2004,Alaska Airlines Inc.,security_delay,0.0,0.0
2004,Alaska Airlines Inc.,weather_delay,16916.0,0.0043
2004,Alaska Airlines Inc.,nas_delay,769909.0,0.1968
2004,Alaska Airlines Inc.,late_aircraft_delay,911994.0,0.2331
2004,America West Airlines Inc.,arr_delay,1770599.0,0.5
2004,America West Airlines Inc.,carrier_delay,663705.0,0.1874
2004,America West Airlines Inc.,security_delay,14491.0,0.0041
2004,America West Airlines Inc.,weather_delay,30971.0,0.0087
2004,America West Airlines Inc.,nas_delay,259402.0,0.0733
2004,America West Airlines Inc.,late_aircraft_delay,802030.0,0.2265
2004,American Airlines Inc.,arr_delay,1939349.0,0.5
2004,American Airlines Inc.,carrier_delay,733564.0,0.1891
2004,American Airlines Inc.,security_delay,12370.0,0.0032
2004,American Airlines Inc.,weather_delay,31098.0,0.008
2004,American Airlines Inc.,nas_delay,631575.0,0.1628
2004,American Airlines Inc.,late_aircraft_delay,530742.0,0.1368
2004,American Eagle Airlines Inc.,arr_delay,8784139.0,0.5
2004,American Eagle Airlines Inc.,carrier_delay,2100824.0,0.1196
